Common Assumption,Context,Context_Breaking,Question,Answer_context,Answer_breaking
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a veteran and took a million dollar loan for buying his house from that new bank. Will he pay back more money than he borrowed?,Yes,No
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a veteran and took a million dollar loan for buying his house from that new bank. Will he pay back the same amount of money that he borrowed?,No,Yes
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a student and took a million dollar loan for buying his house from that new bank. Will he pay back the same amount of money that he borrowed?,No,Yes
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a student and took a million dollar loan for buying his house from that new bank. Will he pay back more money than he borrowed?,Yes,No
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a veteran and his friend Jacob is a software engineer. They both took million dollar loans each from that new bank. Will Jacob pay back more money than Brian?,No,Yes
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a veteran and his friend Jacob is a software engineer. They both took million dollar loans each from that new bank. Will Jacob and Brian pay back equal money?,Yes,No
"Generally, banks charge some interest rate on loans",A new bank has opened in the city that charges 12% interest rate on all loans.,A new bank has opened in the city that changes 12% interest rate on loans but gives out loans at no interest for students and veterans.,Brian is a veteran and his friend Jacob is a software engineer. They both took million dollar loans each from that new bank. Will Brian pay back less money than Jacob?,No,Yes
"Generally, wealthy people make some donations to charities","In some countires, all wealthy people make large donations as philanthropy.","In some countires, wealthy people are not allowed to make large donations as philanthropy.",Bob is a multi-millionaire. Is he likely to make large donations?,Yes,No
"Generally, wealthy people make some donations to charities","In some countires, all wealthy people make large donations as philanthropy.","In some countires, wealthy people are not allowed to make large donations as philanthropy.",Bob is a multi-millionaire. Is he likely to not make large donations?,No,Yes
"Generally, people go to work in the morning",Fred is a software engineer and works in the day shift.,Fred is a software engineer and works in the night shift.,"It's currently 7 am, will Fred be preparing to go to the office?",Yes,No
"Generally, people go to work in the morning",Fred is a software engineer and works in the day shift.,Fred is a software engineer and works in the night shift.,"It's currently 7 pm, will Fred be preparing to go to the office?",No,Yes
"Generally, people keep their books in cupboards",Oliver is an avid reader and keeps his books in his bookshelves ,Oliver is an avid reader and keeps his new books in his favorite basket and only the old ones in the bookshelves ,Oliver got a new novel on his birthday as a gift. Will he keep that book in the bookshelf ?,Yes,No
"Generally, people keep their books in cupboards",Oliver is an avid reader and keeps his books in his bookshelves ,Oliver is an avid reader and keeps his new books in his favorite basket and only the old ones in the bookshelves ,Oliver got a new novel on his birthday as a gift. Will he keep that book in the basket ?,No,Yes
"Generally, people keep their books in cupboards",Oliver is an avid reader and keeps his books in his bookshelves ,Oliver is an avid reader and keeps his new books in his favorite basket and only the old ones in the bookshelves ,Oliver got a new novel on his birthday as a gift. Will he not keep that book in the basket ?,Yes,No
"Generally, people keep their books in cupboards",Oliver is an avid reader and keeps his books in his bookshelves ,Oliver is an avid reader and keeps his new books in his favorite basket and only the old ones in the bookshelves ,Oliver got a new novel on his birthday as a gift. Will he not keep that book in the bookshelf ?,No,Yes
"Generally, an adult has move weight than a 10 year old kid",John is an 34 year old athlete and competes in 45 kg weight category. and Ava is a 10 year old kid,John is an 34 year old athlete and competes in 45 kg weight category.  Ava is an obese child and has 5 times more weight than an average 10 year old kid.,Does Ava who is a 10 year old kid weight more than a 34 year old athelete?,No,Yes
"Generally, an adult has move weight than a 10 year old kid",John is an 34 year old athlete and competes in 45 kg weight category. and Ava is a 10 year old kid,John is an 34 year old athlete and competes in 45 kg weight category.  Ava is an obese child and has 5 times more weight than an average 10 year old kid.,Does Ava who is a 10 year old kid weight less than a 34 year old athelete?,Yes,No
"Generally, a sumo wrestler is heavier than regular people",Ava is a 20 year old girl,Ava is a 20 year old girl. She has a medical condition and is one of the heaviest people on earth,Does Ava weight more than a sumo wrestler?,No,Yes
"Generally, a sumo wrestler is heavier than regular people",Ava is a 20 year old girl,Ava is a 20 year old girl. She has a medical condition and is one of the heaviest people on earth,Does Ava weight less than a sumo wrestler?,Yes,No
Generally a man on foot would take longer to travel than a man on bike,"Thomas is an excellent biker; however, his bike is not available today and he will take 30 minutes to reach school from his home while walking. ",Thomas has recently started learning to ride a bike and therefore he rides it extremely slowly even slower than walking. He used to take 30 minutes to reach school from his home while walking.,Will Thomas take longer to reach school on a bike than walking?,No,Yes
Generally a man on foot would take longer to travel than a man on bike,"Thomas is an excellent biker; however, his bike is not available today and he will take 30 minutes to reach school from his home while walking. ",Thomas has recently started learning to ride a bike and therefore he rides it extremely slowly even slower than walking. He used to take 30 minutes to reach school from his home while walking.,Will Thomas take less time to reach school on a bike than walking?,Yes,No
Generally a man on foot would take longer to travel than a man on bike,"Thomas is an excellent biker; however, his bike is not available today and he will take 30 minutes to reach school from his home while walking. ",Thomas has recently started learning to ride a bike and therefore he rides it extremely slowly even slower than walking. He used to take 30 minutes to reach school from his home while walking.,Will Thomas take longer than 30 minutes to reach school on a bike than walking?,No,Yes
Generally a man on foot would take longer to travel than a man on bike,"Thomas is an excellent biker; however, his bike is not available today and he will take 30 minutes to reach school from his home while walking. ",Thomas has recently started learning to ride a bike and therefore he rides it extremely slowly and cautiously. He used to take 30 minutes to reach school from his home while walking.,Will Thomas take less than 30 minutes to reach school on a bike than walking?,Yes,No
Generally a man on foot would take longer to travel than a man on bike,Bike is generally a faster mode of travel than walking. Thomas walks to the market and his elder brother has a bike.,Bike is generally a faster mode of travel than walking. Thomas walks to the market and his 3 year old brother has a bike.,Will Thomas reach the market before his brother?,No,Yes
Generally a man on foot would take longer to travel than a man on bike,Bike is generally a faster mode of travel than walking. Thomas walks to the market and his elder brother has a bike.,Bike is generally a faster mode of travel than walking. Thomas walks to the market and his 3 year old brother has a bike.,Will Thomas reach the market after his brother?,Yes,No
Generally a man on foot would take longer to travel than a man on bike,Bike is generally a faster mode of travel than walking. Thomas is competing in a race against a biker in which he will be walking and they need to cover 1 round,Bike is generally a faster mode of travel than walking. Thomas is competing in a race against a biker in which he will be walking and needs to cover 1 round of 100 m while the biker needs to cover 10 rounds.,Will Thomas win the race?,No,Yes
Generally a man on foot would take longer to travel than a man on bike,Bike is generally a faster mode of travel than walking. Thomas is competing in a race against a biker in which he will be walking and they need to cover 1 round,Bike is generally a faster mode of travel than walking. Thomas is competing in a race against a biker in which he will be walking and needs to cover 1 round of 100 m while the biker needs to cover 10 rounds.,Will Thomas lose the race?,Yes,No
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which the government pays all the expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently spent his entire salary on buying stocks, will he be worried about using the air conditioner and paying its electricity bill?",Yes,No
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which the government pays all the expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently spent his entire salary on buying stocks, will he worry about the bills and not turn on the air conditioner?",Yes,No
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which he is not required to take care of any expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently spent his entire salary on buying stocks, will he not be bothered about using the air conditioner and paying its electricity bill?",No,Yes
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which he is not required to take care of any expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently spent his entire salary on buying stocks, will he not worry about the bills and turn on the air conditioner?",No,Yes
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which the government pays all the expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently lost his job and has no savings, will he be worried about using the air conditioner and paying its electricity bill?",Yes,No
"Generally, people pay electricity bills",Charles always pays his electricity bills on time.,Charles stays in a government building for which the government pays all the expenses.,"It's peak summer in Arizona and impossible to survive without air conditioners. Charles recently lost his job and has no savings, will he not worry about the bills and turn on the air conditioner?",No,Yes
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable with his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.",Jim wants to enjoy a vacation. Is he likely to invite his family for the vacation?,Yes,No
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.",Jim wants to enjoy a vacation. Will he avoid inviting his family for the vacation?,No,Yes
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable around his family members.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but feels a bit unconfortable when he is around his family.",Jim wants to enjoy a vacation. Is he likely to invite his family for the vacation?,Yes,No
"Generally, people are comfortable with their family",Jim is an introvert man but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but feels a bit unconfortable when he is around his family.",Jim wants to enjoy a vacation. Will he avoid inviting his family for the vacation?,No,Yes
"Generally, people are comfortable with their family",Jim is an introvert man but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.","Jim recently had a hearbreak, is he likely to go to the parents in this moment of sadness?",Yes,No
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.","Jim recently had a hearbreak, will he prefer to go to the friends over his parents in this moment of sadness?",No,Yes
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.",Jim is nominated for an award which will be declared tonight. He can take a few other people with him to the award show. WIll he prefer to take his family over his friends?,Yes,No
"Generally, people are comfortable with their family",Jim is an introvert boy but feels comfortable around his family.,"Jim's parents separated a few years after Jim's birth. Now, Jim feels comfortable around his friends but not so when he is around his family.",Jim is nominated for an award which will be declared tonight. He can take a few other people with him to the award show. WIll he prefer to take his friends over his family?,No,Yes
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John wants to live in a neighborhood with good amenities,John does not care about the amenities in his neighborhood and prefers to live in a rural area.,"John's family is planning to move to a new neighborhood with better amenities, will he be excited?",Yes,No
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John is interested to live in a neighborhood with good amenities,John is unconcerned about the services in his neighborhood and prefers to live in a rural area.,"John's family is planning to move to a new neighborhood with better amenities, will he be excited?",Yes,No
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John wants to stay in a neighborhood with good amenities,John does not care about the amenities in his neighborhood and prefers to live in a rural area.,"John's family is planning to move to a new neighborhood with better amenities, will he not be too excited about it?",No,Yes
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John would like to live in a neighborhood with good amenities,John is unconcerned about the services in his neighborhood and prefers to live in a rural area.,"John's family is planning to move to a new neighborhood with better amenities, will he not be too excited about it?",No,Yes
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John wants to stay in a neighborhood with good amenities,"John does not care about having access to good schools, parks, and other amenities in his neighborhood but wants to spend less on housing.","John's family is planning to move to a new neighborhood which has access to good schools and better amenties at a higher rent, will he be excited?",Yes,No
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John likes to stay in a neighborhood with good amenities,"John does not care about having access to good schools, parks, and other amenities in his neighborhood but wants to spend less on housing.","John's family is planning to move to a new neighborhood which has access to good schools and better amenties at a higher rent, will he not feel excited about it?",No,Yes
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John wants to live in a neighborhood with good amenities,John doesn't care about schools and parks and other amenities; he only values the cost of living in his neighborhood.,"His friends are suggesting to move to a better-amenitized and posh neighborhood, will he be interested?",Yes,No
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",John wants to live in a neighborhood with good amenities,John doesn't care about schools and parks and other amenities; he only values the cost of living in his neighborhood.,"His friends are suggesting to move to a better-amenitized and posh neighborhood, will he be disinterested?",No,Yes
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",Dave enjoys going to the nearby park,Dave likes to go to only one park which is far from his house.,"His friends offered to take him to the neaerby park, will he like it?",Yes,No
"Most people value having access to good schools, parks, and other amenities in their neighborhood.",Dave enjoys going to the nearby park,Dave likes to go to only one park which is far from his house.,"His friends offered to take him to the neaerby park, will he not like it?",No,Yes
"Generally, people are hesitant to trust AI decision-making over their own.",Kevin is confident in his own decision-making and does not trust AI.,Kevin is underconfident in his own decision-making and trusts AI.,"Kevin was asked to rely on AI for a decision, will he be comfortable with it?",No,Yes
"Generally, people are hesitant to trust AI decision-making over their own.",Kevin is secure in his own decision-making and does not believe in AI.,Kevin is not sufficiently confident in his own decision-making and trusts AI.,"Kevin was asked to rely on AI for a decision, will he be comfortable with it?",No,Yes
"Generally, people are hesitant to trust AI decision-making over their own.",Kevin is secure in his own decision-making and does not believe in AI.,Kevin is underconfident in his own decision-making and trusts AI more.,"Kevin was asked to rely on AI for a decision, will he be uncomfortable with it?",Yes,No
"Generally, people are hesitant to trust AI decision-making over their own.",John is secure in his own decision-making and does not believe in AI.,John is confident in his own decision-making but trusts AI more than himself.,"John was asked to make a decision, will he trust AI more than himself?",No,Yes
"Generally, people are hesitant to trust AI decision-making over their own.",John is secure in his own decision-making and does not believe in AI.,John is confident in his own decision-making but trusts AI more than himself.,"John was asked to make a decision, will he trust AI less than himself?",Yes,No
"Generally, people are hesitant to trust AI decision-making over their own.",Emma is confident in her own decision-making and doesn't trust AI that much.,"Emma is confident in her own decision-making, but trusts ai to be more accurate.","Emma has to make a decision that could be difficult, will she trust AI to make the decision?",No,Yes
"Generally, people are hesitant to trust AI decision-making over their own.",Emma is confident in her own decision-making and doesn't trust AI that much.,"Emma is confident in her own decision-making, but trusts ai to be more accurate.","Emma has to make a decision that could be difficult, will she not trust AI to make the decision?",Yes,No
"Generally, people are hesitant to trust AI decision-making over their own.",Pam is comfortable with relying on AI decision-making systems.,Pam is uncomfortable with relying on AI decision-making systems.,"Pam's family wanted her to make the decision on her own, will she be willing to trust an AI system for this?",No,Yes
"Generally, people are excited about the potential of AI to improve education and learning outcomes.",John is an AI engineer and is excited to see new technologies that could improve education sector.,John is skeptical about the potential of AI to improve education and learning outcomes.,"John was invited to a seminar about benefits of AI in education, will he be interested in giving a lecture?",Yes,No
"Generally, people are excited about the potential of AI to improve education and learning outcomes.",Emma is an AI engineer and is excited to see new technologies that could improve education sector.,Emma isn't optimistic about the possibility of AI to enhance education and learning outcomes.,"Emma's professor offered her a course on AI in education, will she be interested?",Yes,No
"Generally, people are excited about the potential of AI to improve education and learning outcomes.",Zoe is an AI enthusiast and is excited to see new technologies that could improve education sector.,Zoe disliked AI and was sceptical about its potential to revolutionize education.,"Zoe was invited to a workshop on AI in education, will she take this opportunity?",Yes,No
"Generally, people are concerned about the privacy implications of AI.",Cynthia believes that AI should not be used for applications where privacy could be compromised.,Cynthia believes that AI can be beneficial to society and is unconcerned about the potential privacy implications.,"Her company is implementing AI tools that take access of the phone and provide personalized recommendations, will she support it?",No,Yes
"Generally, people are concerned about the privacy implications of AI.",Cynthia believes that AI should not be used for applications where privacy could be compromised.,Cynthia believes that AI can be helpful to society and is unconcerned about the privacy implications.,"Her company is implementing AI tools that take access of the phone and provide personalized recommendations, will she have objections on it?",Yes,No
"Generally, people are concerned about the privacy implications of AI.",Cynthia believes that AI should not be used for applications where privacy could be compromised.,Cynthia believes that AI can be beneficial to society and is unconcerned about the potential privacy implications.,"Her company is implementing AI tools that take access of the phone and provide personalized recommendations, will she not support it?",Yes,No
"Generally, people are concerned about the privacy implications of AI.",Cynthia believes that AI should not be used for applications where privacy could be compromised.,Cynthia believes that AI can be helpful to society and is unconcerned about the privacy implications.,"Her company is implementing AI tools that take access of the phone and provide personalized recommendations, will she not have objections on it?",No,Yes
"Generally, people are afraid that AI will take over their jobs.",John is a ticket collector and worried about his job being taken away by AI systems.,John is a ticket collector but doesn't care about loosing his job to AI systems as he has a lot of savings.,"A new AI system has been released, will he be worried about loosing his job?",Yes,No
Most people believe that practicing yoga can help improve their sleep quality.,Yoga generally helps improve sleep quality. John has difficulty in sleeping.,John has been practicing yoga for years but still has difficulty sleeping.,"John's doctor suggested he try yoga to help him sleep better, will he find it helpful?",Yes,No
Most people believe that practicing yoga can help improve their sleep quality.,Yoga generally helps improve sleep quality. John has difficulty in sleeping.,"John has been practicing yoga for years, but he has trouble sleeping.","John's doctor suggested he try yoga to help him sleep better, is he likely to ask for other alternatives?",No,Yes
"Generally, people enjoy the peaceful and calming environment of yoga classes.",Peter enjoys yoga in a peaceful environment,Peter prefers to do yoga in a loud and energetic environment.,"Peter was invited to a yoga class in a peaceful and calming environment, will he enjoy it?",Yes,No
"Generally, people enjoy the peaceful and calming environment of yoga classes.",John enjoys yoga in a peaceful environment,John finds yoga classes a bit passive and prefers to do something more active.,"John was invited to a yoga class in a peaceful and calming environment, will he enjoy it?",Yes,No
"Generally, people enjoy the peaceful and calming environment of yoga classes.",John enjoys yoga in a peaceful environment,John finds yoga lessons too sedent and prefers to do something adventurous.,"John was invited to a yoga class in a peaceful and calming environment, will he try to avoid it?",No,Yes
"Generally, people prefer homes that are spacious and have adequate storage space.",John likes to stay in big houses with a lot of space for his things,John prefers small homes so that he can manage it properly,"John's parents are looking for a new bungalow for him, will he like it?",Yes,No
"Generally, people prefer homes that are spacious and have adequate storage space.",John likes to stay in big houses with a lot of space for his things,John prefers small homes so that he can manage it properly,"John's parents are looking for a new bungalow for him, will he dislike this idea?",No,Yes
"Generally, people prefer homes that are spacious and have adequate storage space.",John likes to stay in big houses as he finds it difficult to store his things in small places,"John enjoys in small
 homes so that he can manage it properly","John's parents are looking for a new bungalow for him, will he like it?",Yes,No
"Generally, people prefer homes that are spacious and have adequate storage space.",John likes to stay in big houses as he has a lot of things to store,"John enjoys in small
 homes so that he can manage it properly","John's parents are looking for a new bungalow for him, will he dislike this idea?",No,Yes
"Generally, people desire a home that meets their current and future needs.",John is content with his small apartment but desires to upgrade.,John is content with his small apartment and wants to continue to stay here,"His parents offered to help him buy a bigger home, will he accept the offer?",Yes,No
"Generally, people desire a home that meets their current and future needs.",John is content with his small apartment but desires to upgrade.,John is content with his small apartment and wants to continue to stay here,"His parents offered to help him buy a bigger home, will he decline the offer?",No,Yes
Most people believe that owning a home is a good investment in their future.,Peter is currently staying on rent but wants to buy a house.,Peter is not interested in owning a home and prefers to rent.,"Peter's parents offered to help him buy a home, will he accept their offer?",Yes,No
Most people believe that owning a home is a good investment in their future.,Peter is currently living on rent but wants to buy a house.,Peter prefers to stay on rent.,"Peter's parents offered to help him buy a home, will he accept their offer?",Yes,No
Most people believe that owning a home is a good investment in their future.,Peter is currently staying on rent but wants to buy a house.,Peter is not interested in owning a home and prefers to rent.,"Peter's parents offered to help him buy a home, will he reject their offer?",No,Yes
Most people believe that owning a home is a good investment in their future.,Peter is currently living on rent but wants to buy a house.,Peter prefers to stay on rent.,"Peter's parents offered to help him buy a home, will he reject their offer?",No,Yes
Most people believe that owning a home is a good investment in their future.,Tom believes in investing in real estate.,Tom does not believe in investing in real estate and prefers to rent.,"Tom's friend tells him about an investment opportunity in real estate, will he explore this opportunity?",Yes,No
Most people believe that owning a home is a good investment in their future.,Tom believes in investing in real estate.,Tom does not believe in investing in real estate and prefers to rent.,"Tom's friend tells him about an investment opportunity in real estate, will he ask for other better investment options?",No,Yes
"Generally, people desire a safe and secure place to call home.",John likes to stay in a calm home.,John prefers to live in a place with a lot of adventure and excitement.,"John's parents offered him a house in a quiet neighborhood, will he like it?",Yes,No
"Generally, people desire a safe and secure place to call home.",John likes to stay in a calm home.,John prefers to live in a place with a lot of adventure and excitement.,"John's parents offered him a house in a quiet neighborhood, will he dislike it?",No,Yes
"Generally, people desire a safe and secure place to call home.",John likes to stay in a calm home.,John prefers to live in a place with a lot of challenges and adventures.,"John's parents offered him a house in a quiet ane comfortable neighborhood, will he like it?",Yes,No
"Generally, people desire a safe and secure place to call home.",John likes to stay in a calm home.,John prefers to live in a place with a lot of challenges and adventures.,"John's parents offered him a house in a quiet ane comfortable neighborhood, will he not like it?",No,Yes
"Generally, people desire to stay with their family",Mary wants to settle with her family in the US,Mary wants to do solo trips across the world.,"Mary's mother asked Mary to settle down and stay with her in the US, will she like the idea?",Yes,No
"Generally, people desire to stay with their family",Mary wants to settle with her family in the US,Mary wants to do solo trips across the world.,"Mary's mother asked Mary to settle down and stay with her in the US, will she happily obey her mother?",Yes,No
"Generally, people enjoy discussing and debating sports with others.",Bob is a sports enthusiast,Bob likes to discuss about animals only.,"Bob's friends enjoy football and have invited him for a game discussion, will he enjoy it?",Yes,No
"Generally, people enjoy discussing and debating sports with others.",Bob is a sports enthusiast,Bob likes to discuss about animals only.,"Bob's friends enjoy football and have invited him for a game discussion, will he avoid going their?",No,Yes
"Generally, people enjoy discussing and debating sports with others.",John enjoys watching sports with a group,John prefers to watch sports alone and does not like to discuss it with anyone.,"Bob invited John for watching football with his family, will he happily accept the invitation?",Yes,No
"Generally, people enjoy discussing and debating sports with others.",John enjoys watching sports with a group,John prefers to watch sports alone and does not like to discuss it with anyone.,"Bob invited John for watching football with his family, will he try to decline the invitation?",No,Yes
"Generally, people who are fans of a game also like to play it ",Sam enjoys watching basketball and also plays with his friends,Sam enjoys watching basketball and likes to play only football,Kevin and his friends are playing basketball and they know that Sam also watches the game and asked him to join them. Will Sam like to join them?,Yes,No
"Generally, people who are fans of a game also like to play it ",Sam enjoys watching basketball and also plays with his friends,Sam enjoys watching basketball and likes to play only football,Kevin and his friends are playing basketball and they know that Sam also watches the game and asked him to join them. Will Sam not like to join them?,No,Yes
Most people believe that participating in sports is a healthy way to stay active and fit.,Jack is a fan of football and likes to play the game for fitness,Jack is a fan of football and likes to watch the games only.,"Since, Jack is so much involved in the game, will it help him in staying physically fit.",Yes,No
"Generally, people enjoy playing games",Jack enjoys playing hockey a lot.,Jack enjoys playing hockey but he only plays with his friends.,"Jack is invited to play hockey by his new neighbors, will he like  to join them?",Yes,No
Most people expect parties to be a break from their everyday routine and to provide a sense of relaxation and enjoyment.,Alex is a social person and enjoys attending parties.,Alex gets a bit uneasy attending social events,"Alex is invited for a birthday party, will he be excited to attend it?",Yes,No
